brand,priority_tier,region,country,activity_name,activity_type,activity_status,start_date,end_date,discovery_date,channel_source,source_url,proof_screenshot,city_or_region,venue,online_offline,product_line,member_only,member_benefit,wecom_or_private_traffic_hook,entry_threshold,signup_flow,target_audience,core_mechanic,ugc_or_creator_mechanic,offer_or_incentive,partnership_or_ip,visual_keyword,engagement_signal,conversion_signal,reuse_score_for_insta360,replication_difficulty,insight_summary,recommendation_for_insta360,owner,review_status,last_updated,link_type,link_note
Xiaomi,P0,China,China,小米 FRIEND 会员规则-6月,member_service_activity,active,2026/06/01,2026/06/15,2026/06/15,official membership page,https://www.mi.com/article/detail/d8c2a98d9cd4.html,,全国,小米商城 / 小米之家,hybrid,membership / retail,yes,会员资格、续卡、门店消费与设备绑定权益,商城与门店消费都可并入会员身份经营,满足消费或设备条件,登录小米账号 -> 达标领取会员 -> 享受权益,mi fans; smart home users,消费达标 + 设备绑定换取会员权益,,会员身份、续卡资格与专属权益,,会员规则,商城与门店统一会员规则,消费与设备绑定同时拉动复购,5,medium,把商城消费、小米之家门店消费和设备绑定统一折算成会员资格，复购牵引非常强。,影石可把门店消费、设备激活和社群任务并成会员升级条件。,codex-refresh,seeded,2026/06/15,reference,活动规则或说明页
Samsung,P1,China,China,三星商城促销活动,member_benefit,active,2026/06/10,2026/06/30,2026/06/15,official campaign page,https://www.samsung.com/cn/offer/,,全国,三星商城,online,smartphone / tablet / appliance retail,no,官网促销活动、优惠券、补贴集中承接,,公开访问,活动总入口 -> 品类活动页 -> 下单转化,electronics shoppers,活动总入口聚合多品类促销,,促销、券包、补贴,,商城促销,大促与新品活动集合,活动页到商品页转化路径短,4,low,把所有促销和新品活动集中在一个总入口，适合承接大促与新品组合转化。,影石可做统一活动总入口，把新品、配件券和会员礼集中收口。,codex-refresh,seeded_with_inference,2026/06/15,detail,官方活动页
Samsung,P1,China,China,三星小时达,store_experience,active,2026/06/08,2026/06/20,2026/06/15,official campaign page,https://www.samsung.com/cn/offer/samsung-home/,,全国主要城市,三星门店 / 同城闪送,hybrid,retail fulfillment / smartphone,no,门店自提、同城闪送、赠品后送,门店履约可延伸售后与会员触达,公开访问,活动页选择地址 -> 门店自提/闪送 -> 下单支付,urban electronics buyers,线上下单 + 门店履约,,同城闪送、门店自提、促销权益,,小时达,快速履约与门店服务,下单到提货链路缩短,5,medium,把线上下单和附近门店履约连接起来，显著缩短了从兴趣到拿货的时间。,影石可做门店现货、同城试拍后即购和门店自提模型。,codex-refresh,seeded_with_inference,2026/06/15,detail,官方活动页
Samsung,P1,China,China,三星以旧换新,member_benefit,active,2026/06/08,2026/06/30,2026/06/15,official campaign page,https://www.samsung.com/cn/offer/trade-in/,,全国,三星商城,hybrid,device upgrade / trade-in,no,旧机回收补贴与换新抵扣,,旧机回收金额达标,进入换新页 -> 评估旧机 -> 领取补贴 -> 下单新机,upgrade users,以旧换新补贴,,换新补贴,,以旧换新,补贴政策与型号覆盖,直接牵引升级购买,5,low,旧机回收补贴直接拉动升级购买，是非常强的转化型活动页。,影石可做旧机升级、配件置换或以旧换新补贴活动。,codex-refresh,seeded_with_inference,2026/06/15,detail,官方活动页
NIO,P0,China,China,蔚来中心用户社区空间入口,store_experience,active,2026/06/15,2026/06/15,2026/06/15,official community page,https://www.nio.cn/nio-house,,全国,NIO House,offline,community space / retail,no,休息区、活动空间与用户社群承接,门店空间可持续沉淀用户关系,公开访问,查看门店列表 -> 到店体验 -> 参加用户活动,premium EV users; community members,门店空间 + 用户社群活动,,社区归属感与到店体验,,NIO House,地标门店与用户聚集,把到店停留变成长期社区关系,5,medium,把门店做成长期社群空间，而不是一次性销售点，复访和内容沉淀能力很强。,影石可做城市影像空间，固定承接创作课、用户会和新品试拍。,codex-refresh,seeded_with_inference,2026/06/15,entry,转化入口页
NIO,P0,China,China,预约试驾-NIO 蔚来官网,test_drive_booking,active,2026/06/15,2026/06/15,2026/06/15,official test-drive page,https://www.nio.cn/test-drive,,全国,蔚来门店 / 试驾路线,hybrid,vehicle trial / sales conversion,no,预约后由蔚来专家讲解产品与服务,预约线索可继续沉淀到顾问与用户社群,提交姓名与电话,填写预约信息 -> 分配门店与专家 -> 到店试驾,high intent EV buyers,预约试驾 + 专家讲解,,专家讲解与近距离体验,,预约试驾,表单提交与专家跟进,线索收口非常直接,5,low,试驾页只收最核心的信息，成交动作直接，特别适合高意向用户承接。,影石可直接复用为预约试拍、预约讲解和预约门店体验入口。,codex-refresh,seeded,2026/06/15,entry,转化入口页
BYD,P0,China,China,比亚迪郑州赛车场,store_experience,active,2026/06/15,2026/06/15,2026/06/15,official campaign page,https://www.byd.com/cn/race-track/race-zhengzhou,,河南省,比亚迪郑州赛车场,offline,vehicle driving experience,no,麋鹿测试、金卡纳、智能泊车、AEB 等体验项目,体验后可继续沉淀预约试驾与门店线索,公开访问,查看赛车场页 -> 预约试驾/体验 -> 到场参与,driving enthusiasts; family buyers,驾驶体验区 + 品牌活动,,多项目体验与品牌活动,,赛车场,低门槛体验与活动聚集,把兴趣流量导向门店与试驾,5,medium,把驾驶体验、品牌活动和试驾统一装进赛车场，能持续吸引到店体验。,影石可做运动基地、滑板场或骑行营地的试拍合作活动。,codex-refresh,seeded_with_inference,2026/06/15,detail,官方活动页
BYD,P0,China,China,比亚迪合肥赛车场,store_experience,active,2026/06/15,2026/06/15,2026/06/15,official campaign page,https://www.byd.com/cn/race-track/race-hefei,,安徽省,比亚迪合肥赛车场,offline,vehicle driving experience,no,全民可参与的新能源汽车全地形体验,体验后可转化到试驾和门店跟进,公开访问,查看赛车场页 -> 预约试驾/体验 -> 到场参与,driving enthusiasts; family buyers,低门槛赛车场体验,,全地形体验与品牌活动,,赛车场,全民体验与品牌空间,线下体验后转化到门店与试驾,5,medium,用低门槛、可反复参加的场地体验强化品牌黏性，比一次性发布会更能做持续转化。,影石可做固定场地体验日，让用户反复到场试拍、社交和购买。,codex-refresh,seeded_with_inference,2026/06/15,detail,官方活动页
CHAGEE,P1,China,China,霸王茶姬茶小象世界旅行：抽10万张0.01元券,member_benefit,completed,2026/06/05,2026/06/14,2026/06/15,marketing media coverage,https://m.haikou.bendibao.com/youhui/82649.shtm,,全国,微信小程序,hybrid,tea beverage / mini-program,yes,0.01元饮品券抽奖与多次参与机会,小程序参与后可继续导入社群或会员池,注册或登录小程序,进入小程序活动页 -> 抽券 -> 到店核销,young tea beverage users,小游戏抽券 + 到店核销,社交分享提升参与率,10万张0.01元券,茶小象 IP,世界旅行小游戏,低门槛高频参与,抽券后导向门店消费和复购,4,low,典型的小程序轻互动拉新模型，用超低门槛券包把线上参与直接导到门店核销。,影石可做节日前的小游戏抽券，把配件券或试拍券直接导流到门店。,codex-refresh,seeded_with_inference,2026/06/15,reference,公开参考页
Nayuki,P1,China,China,奈雪的茶 × 麦兜答题抽免单,brand_collab_offline_activation,completed,2026/05/27,2026/06/01,2026/06/15,marketing media coverage,https://sz.bendibao.com/youhui/2026528/1003331.shtm,,全国,微信小程序 / 门店核销,hybrid,tea beverage / IP collaboration,yes,答题抽免单和联名互动权益,联名活动参与后可继续沉淀会员与社群,进入奈雪小程序参与答题,小程序答题 -> 抽奖 -> 到店核销,young female users; IP lovers,IP 联名 + 小程序答题抽奖,联名内容分享,免单机会与联名热度,麦兜,联名答题互动,用户答题和抽奖互动,奖品与门店消费绑定,4,medium,把 IP 联名和小程序答题结合，既有传播感，也有非常清晰的门店核销动作。,影石可用 IP 或创作者联名做答题抽奖，再把权益落到门店试拍或券包核销。,codex-refresh,seeded_with_inference,2026/06/15,reference,公开参考页
Nayuki,P1,China,China,奈雪的茶 × 麦兜联名：198家门店主题店与快乐宝宝节,brand_collab_offline_activation,completed,2026/06/01,2026/06/08,2026/06/15,business media coverage,https://www.ebrun.com/20260602/672153.shtml,,全国,198家主题店,offline,tea beverage / offline retail,no,主题店打卡和节日限定联名体验,主题店活动后可二次触达会员与复购,公开到店,看到联名宣发 -> 到店打卡 -> 购买联名产品,young families; IP lovers,主题店改造 + 节日联名打卡,门店打卡晒图,联名限定体验,麦兜,主题店 / 快乐宝宝节,线下打卡与社交传播,主题店到店消费与二次复访,5,medium,把 IP 联名做成全国多店同发的主题店活动，特别适合放大节日窗口到店流量。,影石可在端午或父亲节做多城快闪门店陈列，加上打卡位和限定权益。,codex-refresh,seeded_with_inference,2026/06/15,reference,公开参考页
ChaPanda,P1,China,China,茶百道猜拳赢好礼：最高领20元喝奶茶金,community_operation,completed,2026/06/05,2026/06/11,2026/06/15,marketing media coverage,https://hz.bendibao.com/youhui/202665/171137.shtm,,全国,微信小程序 / 企业微信群,hybrid,tea beverage / mini-program,yes,20元喝奶茶金和社群互动福利,活动信息在企业微信群持续触达,加入群聊并进入小程序,群里领活动信息 -> 小程序猜拳 -> 领取喝奶茶金 -> 到店核销,price-sensitive tea users,社群触达 + 小程序猜拳,,20元喝奶茶金,,猜拳小游戏,社群频繁触达,券包直接拉动到店核销,5,low,把企业微信社群触达和小程序小游戏结合，特别适合做节日前的快速回流。,影石可做企微社群专属小游戏券包，先激活老会员再导流到门店。,codex-refresh,seeded_with_inference,2026/06/15,reference,公开参考页
Guming,P1,China,China,古茗连续五天猜口令抢免单,member_benefit,completed,2026/06/08,2026/06/12,2026/06/15,marketing media coverage,https://m.jm.bendibao.com/news/16359.shtm,,全国,小程序 / 门店核销,hybrid,tea beverage / mini-program,yes,免单机会与连续5天活动参与感,连续活动适合沉淀成会员日常触达,进入小程序并输入口令,获取口令 -> 小程序参与 -> 领取奖励 -> 门店核销,daily tea drinkers,连续任务 + 口令互动 + 免单激励,口令传播,免单,,连续5天活动,连续打卡与口令传播,高频到店核销与复购,4,low,连续五天滚动运营让用户形成惯性参与，很适合节日前做小周期高频触达。,影石可在端午前做连续3-5天的口令解锁券包，保持日更型触达。,codex-refresh,seeded_with_inference,2026/06/15,reference,公开参考页
Auntea Jenny,P1,China,China,沪上阿姨集卡赢四重香椰玛奇朵1元新品券,member_benefit,completed,2026/05/20,2026/05/26,2026/06/15,marketing media coverage,https://m.haikou.bendibao.com/youhui/82113.shtm,,全国,微信/支付宝小程序 / 企业微信群,hybrid,tea beverage / new product,yes,1元新品券与群内高频触达,企业微信群每日推送集卡机会,进入小程序并参加集卡,群触达 -> 小程序集卡 -> 领券 -> 到店核销新品,young female beverage users,集卡任务 + 新品券核销,,1元新品券,,集卡 / 新品券,每日集卡与社群提醒,直接拉新品到店试饮和后续复购,5,low,非常标准的“社群提醒 + 小程序集卡 + 低价新品券”新品引爆模型。,影石可把新品配件或新机体验做成集章/集卡换试拍券，再引导到店。,codex-refresh,seeded_with_inference,2026/06/15,reference,公开参考页
Huawei,P0,China,China,2026 华为影像大赛全球开赛，此刻由你掌镜，共赴移动影像创作新程,ugc_creator_competition,active,2026/03/23,2026/12/31,2026/06/22,official news article,https://consumer.huawei.com/cn/press/news/2026/huawei-xmage-awards-2026-open-call-for-entries/,,全球 / 中国区,官网投稿入口,hybrid,mobile imaging / creator community,no,作品投稿、赛事荣誉与持续内容沉淀,投稿后可承接创作者社群与后续活动邀请,公开投稿,官网报名投稿 -> 作品传播 -> 评选与展映,mobile creators; photography lovers,年度影像赛事征集,作品投稿与话题传播,赛事荣誉与曝光,XMAGE,影像大赛,投稿与作品扩散,创作者线索沉淀与社区回流,5,medium,这是高质量的长期创作者征集机制，兼顾内容传播、社群沉淀和年度品牌资产积累。,影石可做年度创作征集，把投稿、门店展映和会员活动串成完整链路。,codex-refresh,seeded,2026/06/22,detail,活动详情页
Huawei,P1,China,China,2026 XMAGE 共见・深圳启幕 颁发首批“华为影像 XMAGE 特约摄影师”,city_activation,completed,2026/05/16,2026/05/16,2026/06/22,official news article,https://consumer.huawei.com/cn/press/news/2026/xmage-event-sz/,,深圳,城市影像活动,offline,mobile imaging / city event,no,摄影师认证、城市活动参与和内容曝光,线下影像活动可承接本地创作者社群,公开参与/受邀,活动宣发 -> 到场参与 -> 内容扩散,photographers; creator community,城市影像活动 + 摄影师认证,现场创作与内容传播,摄影师认证与曝光,XMAGE,城市影像活动,城市活动与摄影圈层讨论,创作者关系沉淀和后续活动承接,4,medium,把城市事件、摄影圈层和认证机制结合，适合做本地创作者社区运营。,影石可做城市影像巡回活动，把本地创作者认证、试拍和社群关系一起做。,codex-refresh,seeded,2026/06/22,detail,活动详情页
CHAGEE,P1,China,China,霸王茶姬抽奶茶免单、毛绒挂件活动,member_benefit,completed,2026/05/13,2026/05/20,2026/06/22,marketing media coverage,https://www.sohu.com/a/1022328074_121123818,,全国,霸王茶姬小程序 / 门店核销,hybrid,tea beverage / mini-program,yes,0.01元兑换券、买一赠一券、毛绒挂件抽奖,小程序抽奖后可承接会员和复购触达,登录小程序,小程序活动入口 -> 抽奖 -> 到店核销,young tea beverage users,小程序抽奖 + 到店核销 + 周边奖励,毛绒挂件晒图传播,0.01元券 / 买一赠一 / 周边挂件,茶小象,毛绒挂件 / 低门槛抽奖,每天登录抽奖,持续到店核销和二次复购,4,low,低门槛抽奖叠加实物周边，对年轻用户拉新和连续复访很有效。,影石可做节日前连续抽奖，用试拍券、配件券和联名周边带动回流。,codex-refresh,seeded_with_inference,2026/06/22,reference,公开参考页
Auntea Jenny,P1,China,China,沪上阿姨10万份0.01元尝新券,member_benefit,completed,2026/05/15,2026/05/17,2026/06/22,marketing media coverage,https://www.sohu.com/a/1022328074_121123818,,全国,沪上阿姨小程序 / 门店核销,hybrid,tea beverage / new product,yes,10万份0.01元新品尝新券,活动入口可持续沉淀到会员触达,进入小程序参与,小程序活动入口 -> 抢券/抽券 -> 到店核销新品,young female beverage users,低价尝新券 + 新品引流,,0.01元尝新券,,尝新券 / 新品试饮,低门槛抢券,新品到店试饮和后续复购,5,low,0.01元尝新券对新品转化非常直接，适合快速引爆到店试用。,影石可做新品体验券或限时配件尝鲜券，用超低门槛换到店试拍。,codex-refresh,seeded_with_inference,2026/06/22,reference,公开参考页
Samsung,P1,China,China,三星以旧换新夏季档（2026年6月22日起）,member_benefit,active,2026/06/22,2026/06/30,2026/06/26,official campaign page,https://www.samsung.com/cn/offer/trade-in/,,全国,三星商城 / 回收门店,hybrid,smartphone / appliance trade-in,yes,至高1000元换新补贴与一站式回收服务,,三星会员ID / 回收旧机,活动页进入 -> 旧机估价 -> 下单新机 -> 上门/快递回收,upgrade users; existing Samsung owners,旧机回收补贴 + 新机购买转化,,至高1000元补贴,,以旧换新 / 夏季档,回收估价与补贴政策,升级购买链路短且补贴明确,5,low,活动时间和补贴梯度写得很清楚，属于典型的高转化升级型活动页。,影石可做以旧换新夏季档，把旧机回收、配件补贴和门店试拍统一打包。,codex-refresh,seeded,2026/06/26,detail,官方活动页
Samsung,P1,China,China,三星14天无忧试用服务,member_service_activity,active,2026/06/26,2026/07/31,2026/06/26,official campaign page,https://www.samsung.com/cn/offer/galaxy-try-buy/,,全国,三星商城 / 图腾小程序,hybrid,smartphone / wearable trial,yes,14天试用资格与多机型体验名额,试用后可进一步承接购买与会员触达,保证金与名额限制,活动页浏览机型 -> 立即试用 -> 小程序预约退回或转购买,high-intent premium users,先试后买 + 限量名额 + 保证金机制,,14天试用体验,,无忧试用,限量名额与多机型试用,先体验后购买的决策链路更完整,5,medium,先试后买对高客单价产品特别有效，适合降低决策门槛。,影石可做7天试拍或限量试用机制，把高意向用户从观望推到门店体验。,codex-refresh,seeded,2026/06/26,detail,官方活动页
NIO,P0,China,China,NIO App 活动报名与车友社群入口,community_operation,active,2026/06/26,2026/06/26,2026/06/26,official community page,https://www.nio.cn/nio-app,,全国,NIO App,hybrid,community app / user operations,yes,App 报名活动、加入社群、积分与服务承接,官方活动报名与车友社群关系长期沉淀,下载并登录NIO App,进入 App -> 浏览官方频道 -> 报名活动 / 加入社群,NIO owners; community members,App 社区 + 活动报名 + 车友社群,车主内容分享,积分 / 活动资格 / 社群关系,,社区 App,官方资讯与活动报名并存,把内容消费转成活动报名和社群加入,5,medium,把资讯、活动报名、车友关系和服务放在一个 App 里，长期留存能力非常强。,影石可以强化 App 或小程序中的活动报名区，让内容浏览直接转报名和入群。,codex-refresh,seeded,2026/06/26,entry,转化入口页
OnePlus,P1,China,China,2026「一加杯」和平精英高校赛,community_operation,active,2026/06/26,2026/08/31,2026/06/26,official campaign page,https://www.oneplus.com/cn/yijiabei,,全国,官网报名 / 线下总决赛,hybrid,gaming phone / youth community,no,报名参赛、赢奖金、积分与换机权益,赛事报名后可持续导入电竞与加油社区,进入官网活动页并完成报名,官网活动页 -> 查看赛制与赛程 -> 报名参赛 -> 晋级与线下决赛,young gamers; esports fans,全国赛事 + 奖金激励 + 社区运营,赛事内容传播与玩家晒图,10万奖金 / 全国大赛积分 / 换机权益,和平精英,高校电竞赛,官方赛事页、赛制赛程与高校人群关注,赛事报名与后续社区沉淀链路清晰,4,medium,赛事型活动对年轻人群的拉新和社群沉淀特别有效，尤其适合品牌做长期社区标签。,影石可做运动记录赛或城市挑战赛，把报名、作品上传和门店体验串起来。,codex-refresh,seeded,2026/06/26,detail,活动详情页
Huawei,P1,China,China,华为服务日,member_service_activity,active,2026/01/01,2026/12/31,2026/06/26,official service activity page,https://consumer.huawei.com/cn/support/activity-list/,,全国,华为服务店 / 我的华为 App,hybrid,after-sales / member loyalty,no,免费贴膜、维修免人工费、免费外观清洁保养等到店服务权益,我的华为 App 活动页与服务门店承接,到店或在我的华为 App 查看活动门店,活动页查看规则与门店 -> 到店参与服务 -> 留存到店用户与后续回访,Huawei device users; existing users,固定服务日 + 到店售后 + 用户回访,,免费贴膜 / 免人工费 / 清洁保养,,服务日,固定周期活动与门店服务触点,到店服务回访可反哺会员留存与后续复购,5,low,固定周期的服务权益活动非常适合把售后流量重新拉回门店，并顺带完成会员触达与口碑修复。,影石可做月度服务日，把设备体检、清洁保养、配件优惠和会员回访组合成固定到店机制。,codex-refresh,seeded,2026/06/26,detail,活动详情页
OPPO,P0,China,China,OPPO 2026 影像大赛,ugc_creator_competition,active,2026/04/21,2026/11/20,2026/06/27,official campaign page,https://lumo.oppo.com/cn/,,中国区 / 全球投稿,LUMO 影像活动页,online,mobile imaging / creator community,no,投稿参赛、影像曝光与年度评选资格,投稿后可沉淀到官方社区与影像兴趣用户池,进入活动页并按赛道投稿,官方活动页 -> 选择赛道 -> 投稿作品 -> 参与评选与传播,mobile photographers; young creators,年度影像赛事 + 作品投稿 + 社区传播,作品投稿、话题传播与年度评选,奖项荣誉 / 曝光 / 投稿激励,,影像大赛,年度赛事、赛道设置与投稿机制完整,用投稿把内容兴趣沉淀到社区与长期关系运营,5,medium,影像大赛不是单次传播，而是长期拉动创作者投稿、话题扩散和品牌社区沉淀的机制。,影石可做年度创作挑战赛，把投稿、社群、线下展映和会员权益打通。,codex-refresh,seeded,2026/06/27,detail,活动详情页
NIO,P0,China,China,蔚来 ES8 预订选配与限时权益,member_app_presale,active,2026/06/28,2026/07/31,2026/06/27,official configurator page,https://www.nio.cn/configurator/ES8?newVersion=2&source=liaojiexiangqing,,全国,官网选配器 / App 订购入口,hybrid,premium EV / member presale,yes,限时订购权益、选装基金与老用户专属权益,订购后可继续沉淀到车主社群、顾问与 App 体系,进入官方选配页并选择车型配置,官方选配页 -> 选择配置与权益 -> 提交订购 -> 顾问与 App 后续承接,premium family users; existing NIO users,新品预订 + 限时权益 + 老用户承接,,限时订购权益 / 选装基金,,限时订购权益,官方选配器展示车型配置、价格与限时权益,配置选择直接推进订购，并承接到 App 与顾问体系,4,medium,新品上线时把限时权益和老用户利益放在同一页，能明显提高高意向用户的下单效率。,影石可在新品发售页同步给出限时权益、老用户升级礼和门店试拍预约入口。,codex-refresh,seeded,2026/06/27,entry,转化入口页
vivo,P0,China,China,vivo 618限时返场,member_benefit,active,2026/06/18,2026/06/30,2026/06/28,official campaign page,https://cmsapi.vivo.com.cn/activity/link/618PC,,全国,vivo 官方商城活动页,online,smartphone / ecommerce promotion,no,限时返场优惠、补贴与商城活动权益,商城活动页可承接会员登录、券包与下单转化,进入官方活动页并参与商城购买,官方活动页 -> 浏览返场机型与优惠 -> 进入商品页 -> 下单购买,electronics shoppers; price-sensitive upgrade users,限时返场 + 优惠补贴 + 商城转化,,限时返场优惠 / 补贴 / 赠品,,618返场,官方活动总入口与返场主题明确,从活动页到商品页的购买链路短,4,low,返场活动适合承接大促尾声流量，用明确优惠和短链路购买页继续收口转化。,影石可做大促返场页，把热门机型、配件券和会员限时权益集中收口。,codex-refresh,seeded,2026/06/28,detail,活动详情页
vivo,P1,China,China,vivo 生日福利领取入口,member_benefit,active,2026/01/01,2026/12/31,2026/06/28,official membership help page,https://www.vivo.com.cn/service/questions/all?categoryId=148&questionId=960,,全国,vivo 官网 / 会员板块,online,membership / repeat purchase,yes,生日福利、会员权益领取与回访触达,会员身份识别后可继续承接券包与商城转化,登录会员并在生日权益周期内领取,会员帮助页了解规则 -> 登录会员账户 -> 领取生日福利 -> 回流商城或服务权益,existing vivo members; repeat buyers,生日福利 + 会员回访 + 复购激励,,生日福利 / 会员专属权益,,生日福利,会员帮助页持续承接会员权益查询,生日福利适合做老用户回访与复购刺激,4,low,生日福利是轻量但长期有效的会员复购机制，能在不增加重资产活动的情况下做持续回访。,影石可做会员生日月福利、专属券包和到店试拍礼，增强老用户回访。,codex-refresh,seeded,2026/06/28,entry,转化入口页
Apple,P0,China,China,Apple 夏令营登记通知页,community_operation,active,2026/06/30,2026/07/31,2026/06/30,official campaign page,https://www.apple.com/cn/retail/camp/,,全国 Apple Store,Apple Store 零售店,hybrid,retail education / youth creativity,no,登记后接收开放报名通知并参与线下暑期课程,通知登记页承接后续报名与到店参与,在页面登记电子邮件接收开放通知,官方活动页 -> 登记接收通知 -> 开放报名后选择门店与课程 -> 到店参加,parents; children aged 6-10; family users,暑期课程通知登记 + 门店创作教育 + 到店体验,儿童创作课程与现场体验,暑期课程名额 / 报名通知,Today at Apple,夏令营 / 创作课程,官方夏令营专题页与通知登记入口明确,先留资通知再到店报名，适合把兴趣用户导入门店课程,5,medium,Apple 夏令营先用通知登记收集高意向家庭用户，再在门店落地创作课程，是典型的教育型到店机制。,影石可做暑期创作营或亲子记录营，先收集报名通知，再分城市开放门店课程与体验。,codex-refresh,seeded,2026/06/30,detail,活动详情页
